Type,Date,Price
NA Equity Fund,9/21/2003,87.48
NA Equity Fund,9/22/2003,86.34
NA Equity Fund,9/23/2003,86.69
NA Equity Fund,9/24/2003,84.56
NA Equity Fund,9/25/2003,84.08
NA Equity Fund,9/26/2003,83.56
NA Equity Fund,9/27/2003,83.56
NA Equity Fund,9/28/2003,83.56
NA Equity Fund,9/29/2003,84.17
NA Equity Fund,9/30/2003,83.23
NA Equity Fund,10/1/2003,83.23
NA Equity Fund,10/2/2003,85.07
NA Equity Fund,10/3/2003,85.94
NA Equity Fund,10/4/2003,85.94
NA Equity Fund,10/5/2003,85.94
NA Equity Fund,10/6/2003,86.15
NA Equity Fund,10/7/2003,86.52
NA Equity Fund,10/8/2003,85.64
NA Equity Fund,10/9/2003,86.74
NA Equity Fund,10/10/2003,86.42
NA Equity Fund,10/11/2003,86.42
NA Equity Fund,10/12/2003,86.42
NA Equity Fund,10/13/2003,87.17
NA Equity Fund,10/14/2003,87.55
NA Equity Fund,10/15/2003,87.33
NA Equity Fund,10/16/2003,87.62
NA Equity Fund,10/17/2003,86.72
NA Equity Fund,10/18/2003,86.72
NA Equity Fund,10/19/2003,86.72
NA Equity Fund,10/20/2003,87.11
NA Equity Fund,10/21/2003,87.3
NA Equity Fund,10/22/2003,86.02
NA Equity Fund,10/23/2003,86.19
NA Equity Fund,10/24/2003,85.71
NA Equity Fund,10/25/2003,85.71
NA Equity Fund,10/26/2003,85.71
NA Equity Fund,10/27/2003,86.2
NA Equity Fund,10/28/2003,87.64
NA Equity Fund,10/29/2003,87.64
NA Equity Fund,10/30/2003,87.52
NA Equity Fund,10/31/2003,87.81
NA Equity Fund,11/1/2003,87.81
NA Equity Fund,11/2/2003,87.81
NA Equity Fund,11/3/2003,88.4
NA Equity Fund,11/4/2003,88.11
NA Equity Fund,11/5/2003,88.1
NA Equity Fund,11/6/2003,88.88
NA Equity Fund,11/7/2003,88.49
NA Equity Fund,11/8/2003,88.49
NA Equity Fund,11/9/2003,88.49
NA Equity Fund,11/10/2003,87.89
NA Equity Fund,11/11/2003,87.55
NA Equity Fund,11/12/2003,88.6
NA Equity Fund,11/13/2003,88.4
NA Equity Fund,11/14/2003,87.54
NA Equity Fund,11/15/2003,87.54
NA Equity Fund,11/16/2003,87.54
NA Equity Fund,11/17/2003,86.83
NA Equity Fund,11/18/2003,86.08
NA Equity Fund,11/19/2003,86.56
NA Equity Fund,11/20/2003,85.95
NA Equity Fund,11/21/2003,86.34
NA Equity Fund,11/22/2003,86.34
NA Equity Fund,11/23/2003,86.34
NA Equity Fund,11/24/2003,87.8
NA Equity Fund,11/25/2003,87.99
NA Equity Fund,11/26/2003,88.38
NA Equity Fund,11/27/2003,88.38
NA Equity Fund,11/28/2003,88.39
NA Equity Fund,11/29/2003,88.39
NA Equity Fund,11/30/2003,88.39
NA Equity Fund,12/1/2003,89.59
NA Equity Fund,12/2/2003,89.19
NA Equity Fund,12/3/2003,88.98
NA Equity Fund,12/4/2003,89.46
NA Equity Fund,12/5/2003,88.49
NA Equity Fund,12/6/2003,88.49
NA Equity Fund,12/7/2003,88.49
NA Equity Fund,12/8/2003,89.17
NA Equity Fund,12/9/2003,88.46
NA Equity Fund,12/10/2003,88.17
NA Equity Fund,12/11/2003,89.25
NA Equity Fund,12/12/2003,89.46
NA Equity Fund,12/13/2003,89.46
NA Equity Fund,12/14/2003,89.46
NA Equity Fund,12/15/2003,88.76
NA Equity Fund,12/16/2003,89.25
NA Equity Fund,12/17/2003,89.34
NA Equity Fund,12/18/2003,90.32
NA Equity Fund,12/19/2003,90.42
NA Equity Fund,12/20/2003,90.42
NA Equity Fund,12/21/2003,90.42
NA Equity Fund,12/22/2003,90.72
NA Equity Fund,12/23/2003,91.21
NA Equity Fund,12/24/2003,90.91
NA Equity Fund,12/25/2003,90.91
NA Equity Fund,12/26/2003,90.91
NA Equity Fund,12/27/2003,90.91
NA Equity Fund,12/28/2003,90.91
NA Equity Fund,12/29/2003,92.1
NA Equity Fund,12/30/2003,92.2
NA Equity Fund,12/31/2003,92.29
NA Equity Fund,1/1/2004,92.29
NA Equity Fund,1/2/2004,91.9
NA Equity Fund,1/3/2004,91.9
NA Equity Fund,1/4/2004,91.9
NA Equity Fund,1/5/2004,93.09
NA Equity Fund,1/6/2004,93.09
NA Equity Fund,1/7/2004,93.57
NA Equity Fund,1/8/2004,94.16
NA Equity Fund,1/9/2004,93.37
NA Equity Fund,1/10/2004,93.37
NA Equity Fund,1/11/2004,93.37
NA Equity Fund,1/12/2004,93.86
NA Equity Fund,1/13/2004,93.17
NA Equity Fund,1/14/2004,94.04
NA Equity Fund,1/15/2004,93.97
NA Equity Fund,1/16/2004,94.71
NA Equity Fund,1/17/2004,94.71
NA Equity Fund,1/18/2004,94.71
NA Equity Fund,1/19/2004,94.8
NA Equity Fund,1/20/2004,94.59
NA Equity Fund,1/21/2004,95.38
NA Equity Fund,1/22/2004,95.38
NA Equity Fund,1/23/2004,95.38
NA Equity Fund,1/24/2004,95.38
NA Equity Fund,1/25/2004,95.38
NA Equity Fund,1/26/2004,95.77
NA Equity Fund,1/27/2004,94.69
NA Equity Fund,1/28/2004,93.39
NA Equity Fund,1/29/2004,93.85
NA Equity Fund,1/30/2004,93.74
NA Equity Fund,1/31/2004,93.74
NA Equity Fund,2/1/2004,93.74
NA Equity Fund,2/2/2004,94.04
NA Equity Fund,2/3/2004,94.14
NA Equity Fund,2/4/2004,93.16
NA Equity Fund,2/5/2004,93.26
NA Equity Fund,2/6/2004,94.67
